date,price,news
2025-09-04,171.66,
2025-09-05,167.02,
2025-09-08,168.31,
2025-09-09,170.76,
2025-09-10,177.33,
2025-09-11,177.17,
2025-09-12,177.82,
2025-09-15,177.75,
2025-09-16,174.88,
2025-09-17,170.29,
2025-09-18,176.24,
2025-09-19,176.67,
2025-09-22,183.61,
2025-09-23,178.43,
2025-09-24,176.97,
2025-09-25,177.69,
2025-09-26,178.19,
2025-09-29,181.85,
2025-09-30,186.58,
2025-10-01,187.24,
2025-10-02,188.89,
2025-10-03,187.62,
2025-10-06,185.54,
2025-10-07,185.04,
2025-10-08,189.11,
2025-10-09,192.57,
2025-10-10,183.16,
2025-10-13,188.32,
2025-10-14,180.03,
2025-10-15,179.83,
2025-10-16,181.81,
2025-10-17,183.22,
2025-10-20,182.64,
2025-10-21,181.16,
2025-10-22,180.28,
2025-10-23,182.16,
2025-10-24,186.26,
2025-10-27,191.49,
2025-10-28,201.03,
2025-10-29,207.04,
2025-10-30,202.89,
2025-10-31,202.49,
2025-11-03,206.88,
2025-11-04,198.69,
2025-11-05,195.21,
2025-11-06,188.08,
2025-11-07,188.15,
2025-11-10,199.05,
2025-11-11,193.16,
2025-11-12,193.8,
2025-11-13,186.86,
2025-11-14,190.17,
2025-11-17,186.6,
2025-11-18,181.36,
2025-11-19,186.52,
2025-11-20,180.64,
2025-11-21,178.88,
2025-11-24,182.55,
2025-11-25,177.82,
2025-11-26,180.26,
2025-11-28,177.0,
2025-12-01,179.92,
2025-12-02,181.39,
