date,price,news
2025-07-24,110.79,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-07-25,110.4,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-07-28,111.44,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-07-29,112.88,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-07-30,111.9,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-07-31,111.64,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-08-01,109.64,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-08-04,107.37,"Expectations were reset after the news, and clearer benchmarks can reinforce confidence."
2025-08-05,107.24,
2025-08-06,106.51,
2025-08-07,105.95,
2025-08-08,106.8,
2025-08-11,105.83,
2025-08-12,106.13,
2025-08-13,107.6,
2025-08-14,107.38,
2025-08-15,106.49,
2025-08-18,106.72,
2025-08-19,107.42,
2025-08-20,108.53,
2025-08-21,109.23,
2025-08-22,111.28,
2025-08-25,111.74,
2025-08-26,111.49,
2025-08-27,112.75,
2025-08-28,113.35,
2025-08-29,114.29,
2025-09-02,114.69,
2025-09-03,111.91,
2025-09-04,112.4,
2025-09-05,109.23,
2025-09-08,109.85,
2025-09-09,110.65,
2025-09-10,112.5,
2025-09-11,112.14,
2025-09-12,112.16,
2025-09-15,112.35,
2025-09-16,114.68,
2025-09-17,115.29,
2025-09-18,113.93,
2025-09-19,112.82,
2025-09-22,112.02,
2025-09-23,113.95,
2025-09-24,114.56,
2025-09-25,115.59,
2025-09-26,117.22,
2025-09-29,114.22,
2025-09-30,112.75,
2025-10-01,111.99,
2025-10-02,111.29,
2025-10-03,113.26,
2025-10-06,114.2,
2025-10-07,114.26,
2025-10-08,114.02,
2025-10-09,112.91,
2025-10-10,110.73,
2025-10-13,112.24,
2025-10-14,112.29,
2025-10-15,111.61,
2025-10-16,110.64,
2025-10-17,112.24,
2025-10-20,112.7,
2025-10-21,112.71,
2025-10-22,114.71,
2025-10-23,115.98,
2025-10-24,115.39,
2025-10-27,115.94,
2025-10-28,115.03,
2025-10-29,116.45,
2025-10-30,114.69,
2025-10-31,114.36,
2025-11-03,113.76,
2025-11-04,114.14,
2025-11-05,113.68,
2025-11-06,114.5,
2025-11-07,117.22,
2025-11-10,118.22,
2025-11-11,119.78,
2025-11-12,118.12,
2025-11-13,118.79,
2025-11-14,119.29,
2025-11-17,117.68,
2025-11-18,119.03,
2025-11-19,117.35,
2025-11-20,117.02,
2025-11-21,117.08,
2025-11-24,115.97,
2025-11-25,114.51,
2025-11-26,114.77,
2025-11-28,115.92,
2025-12-01,116.63,
2025-12-02,115.71,
